latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.051757695;-80.45741458;250000;3;3;93;2017;1;1;1;1;1;1;1;1;0;626;6770;0.328283882;0.342430908;0.289513935;0.045059448;0.21782183;0.067627508
-1.055148774;-80.45009798;108000;6;6;323;2017;0;1;1;1;1;0;0;1;0;630;6775;1.105196876;2.333540354;0.13808516;0.090525357;0.346947162;0.105245674
-1.064474761;-80.44547662;69000;2;3;120;2019;0;1;1;1;0;0;0;0;0;632;5030;0.448111539;0.464203006;0.261599264;0.45114174;0.129101954;0.132773518
-1.04806478;-80.46715416;320000;5;4;562;2013;0;1;1;1;0;0;0;0;1;626;6770;0.512094603;0.692120916;0.435693964;0.252093581;0.130472195;0.121735927
-1.054704045;-80.46037799;350000;20;22;93;1988;0;1;1;1;1;1;1;1;0;626;6770;0.033722373;0.451367849;0.418278635;0.256836123;0.092601511;0.375331851
-1.057526927;-80.47108781;45000;2;2;56;2020;1;1;1;1;0;0;1;0;1;632;5030;0.238881423;0.461691348;0.615613652;0.459858583;0.262388441;0.106347357
-1.056643943;-80.45374726;80000;3;3;93;2021;0;0;1;1;0;0;1;0;1;629;5795;0.388393497;0.763739799;0.208938234;0.080920799;0.231292585;0.348740639
-1.054520606;-80.4554665;165000;2;3;93;2018;0;1;1;1;1;0;0;1;1;626;6770;0.103845347;0.382123434;0.137257915;0.13904181;0.147268941;0.315867185
-1.057586732;-80.45483695;92000;3;3;93;2022;1;1;1;1;0;0;1;0;1;629;5795;0.229138113;0.755919005;0.35044749;0.152446867;0.202343712;0.418052803
-1.052503925;-80.45465111;93000;3;3;93;2020;1;1;1;1;1;0;1;0;1;626;6770;0.124397064;0.218906921;0.11477662;0.066055032;0.073535856;0.295683292
-1.037762444;-80.47034779;93000;3;3;93;2023;1;1;1;1;1;1;1;0;1;626;6770;0.305251736;0.55217049;0.181118692;0.168312346;0.158188824;0.146440081
-1.051665151;-80.48400341;37000;2;3;75;2024;0;1;1;1;0;0;0;0;0;632;5030;0.558086547;0.248390481;2.117135241;0.918608488;0.095259254;0.59819297
-1.052112393;-80.4518294;88000;3;3;93;2022;1;1;1;1;0;0;0;0;0;627;5280;0.208811022;0.116522899;0.161304787;0.022529003;0.054671584;0.173114928
-1.053514535;-80.46043447;134000;3;5;93;2017;1;1;1;1;0;1;1;0;0;626;6770;0.098923623;0.583154139;0.412489477;0.182940695;0.113550386;0.264577885
-1.051302498;-80.4547584;350000;5;5;93;1997;0;1;1;1;0;0;1;0;0;626;6770;0.251530139;0.087300725;0.230067423;0.121597568;0.200583369;0.212570284
-1.03403203;-80.48125334;72000;2;3;90;2023;1;1;1;1;0;0;0;0;1;626;6770;0.810768202;0.739385377;0.212944297;1.311988532;0.18956372;0.460165466
-1.059925606;-80.46535624;189000;5;6;242;2017;1;1;1;1;0;0;0;0;0;632;5030;0.556420743;0.169558276;0.311507208;0.126058964;0.241895046;0.27477509
-1.060537045;-80.46670808;128000;3;3;190;2017;0;1;1;1;0;0;0;0;0;632;5030;0.420658549;0.090296863;0.159507978;0.058267064;0.077313576;0.409598448
