titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Piso en venta en calle Virgen de la Antigua s/n,Ramón de Carranza - Madre Rafols,379000,1.0,2,1,Bajo,4.0,129,Segunda mano/para reformar,0,0,0,1,0,0
"Piso en venta en Samuel Morse, 5",Blas Infante,595000,0.0,4,0,Bajo,4.0,146,Segunda mano/buen estado,1,0,0,0,1,1
Piso en venta en calle Virgen del Águila,Ramón de Carranza - Madre Rafols,615000,1.0,3,1,Muchas_plantas,5.0,194,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en calle Virgen de Luján,Parque de los Principes - Calle Niebla,375000,1.0,2,0,Ultimos_pisos,3.0,94,Segunda mano/buen estado,1,1,0,0,0,1
Piso en venta en calle Alfonso de Orleans y Borbón,Tablada,375500,1.0,2,0,Muchas_plantas,3.0,132,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Virgen de la Antigua,Ramón de Carranza - Madre Rafols,529000,1.0,2,0,Ultimos_pisos,3.0,186,Segunda mano/buen estado,1,1,0,1,0,0
Piso en venta en calle Virgen de Luján,Ramón de Carranza - Madre Rafols,509500,1.0,3,0,Ultimos_pisos,6.0,260,Segunda mano/para reformar,0,0,1,0,1,0
Piso en venta en calle Virgen de Guaditoca,Asunción - Adolfo Suárez,289000,1.0,2,0,Primeros_pisos,3.0,97,Segunda mano/buen estado,1,0,0,0,0,1
"Piso en venta en calle Virgen del Valle, 38",Parque de los Principes - Calle Niebla,450000,1.0,2,0,Primeros_pisos,3.0,120,Promoción de obra nueva,1,0,1,0,0,1
"Piso en venta en calle Virgen del Valle, 38",Parque de los Principes - Calle Niebla,470000,1.0,2,0,Bajo,3.0,120,Promoción de obra nueva,1,1,0,0,0,1
"Piso en venta en calle Virgen del Valle, 38",Parque de los Principes - Calle Niebla,455000,1.0,2,0,Primeros_pisos,3.0,120,Promoción de obra nueva,1,0,1,0,0,1
"Piso en venta en calle Virgen del Valle, 38",Parque de los Principes - Calle Niebla,460000,1.0,2,0,Primeros_pisos,3.0,120,Promoción de obra nueva,1,0,1,0,0,1
"Dúplex en venta en calle Virgen del Valle, 38",Parque de los Principes - Calle Niebla,520000,1.0,2,0,Bajo,3.0,129,Promoción de obra nueva,1,1,1,0,0,1
Piso en venta en Virgen de la Antigua,Ramón de Carranza - Madre Rafols,535000,1.0,2,1,Muchas_plantas,5.0,185,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,720000,1.0,3,0,Primeros_pisos,5.0,247,Segunda mano/buen estado,1,0,0,1,0,1
Piso en venta en calle Asunción s/n,Asunción - Adolfo Suárez,470000,1.0,2,0,Primeros_pisos,4.0,166,Segunda mano/buen estado,0,1,0,0,0,1
