latitud;longitud;precio_numero;anio_construccion;RAKING_TOTAL
-1.047725009;-80.45161514;260000;2016;24.52391379
-1.057360503;-80.48220924;48500;2023;20.09060614
-1.021558668;-80.47331976;450000;1994;19.86508541
-1.022934707;-80.47661577;150000;2019;22.64700376
-1.053042918;-80.44685552;35000;2022;20.50022098
-1.031135595;-80.46787872;105000;2024;24.9496585
-1.028488524;-80.47922395;100000;2024;19.27060931
-1.056262383;-80.46088163;148014.6347;2002;24.27999685
-1.026523017;-80.4661147;93000;2023;24.32769447
-1.034074896;-80.47486943;88000;2023;21.65731082
-1.037663125;-80.46267636;220000;2020;21.25401981
-1.051163094;-80.46287482;114000;1982;23.89544524
-1.05252538;-80.45780539;92562;2016;24.33848075
-1.058298641;-80.4517527;115000;2022;24.53660501
-1.056129658;-80.45851349;85000;2023;25.04282844
-1.051388315;-80.46248316;100000;2010;23.99374404
-1.051163114;-80.48861855;85000;2003;18.32719571
-1.050788551;-80.48991499;130000;2022;17.60563784
-1.04824805;-80.46695175;1190000;2012;22.57226637
-1.055161276;-80.44996924;250000;2018;21.2717844
-1.048611145;-80.44862045;65000;2009;22.23411711
-1.048466657;-80.45165522;180000;2000;24.34627633
-1.056798806;-80.46056682;120000;2016;24.35525527
-1.058051035;-80.45863999;120000;2019;25.92663871
-1.059736727;-80.45430461;220000;1995;23.44005783
-1.055257601;-80.44818692;73500;2020;21.69412012
-1.057617571;-80.45454547;75000;2020;22.87012756
-1.058002872;-80.45425644;62000;2019;23.19214227
-1.064081085;-80.44502738;93000;2023;22.62030608
-1.02633537;-80.46346363;78000;2017;25.56442902
-1.054713692;-80.46259045;75000;2021;24.36651027
-0.875042101;-80.54076923;68000;2023;23.86501287
-1.03454693;-80.4808671;74000;2022;19.49848456
-1.054415997;-80.4747998;75000;2013;22.55085074
-1.050446891;-80.46209227;68000;2022;24.59448665
-1.049149908;-80.46262295;120000;2015;24.91547827
-1.057108662;-80.46527631;90000;2021;23.70417288
-1.049704237;-80.48917645;43000;2008;17.4225963
-1.046420877;-80.44964665;77000;1997;21.38241436
-1.048973505;-80.45875094;56000;2017;23.99047688
-1.048154737;-80.46467595;185000;2022;23.66221258
-0.875619343;-80.54009774;449000;2020;23.32937654
-1.047869871;-80.47025887;185000;2020;21.86358998
-0.994782795;-80.41720896;140000;2020;15.22734643
-1.052490615;-80.46229075;95000;2012;23.25762933
-1.068583806;-80.47534707;70000;2007;19.8888958
-1.109822559;-80.41322318;55000;2022;16.16820723
-0.875586859;-80.54082867;135000;2020;23.86579983
-1.044075583;-80.46813906;135000;2014;24.23501693
-1.050679072;-80.48965136;99900;2007;17.65857878
-1.109150304;-80.41471577;280000;1980;16.34121691
-1.046416424;-80.47712531;160000;2010;18.57004936
-1.05588719;-80.46183315;145000;2010;24.15318231
