distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3;CLUSTERS
1.324739656;1.299466069;0.61129468;1.340838422;0.336554103;0.700892486;0.775454499;1.746281417;1.602359708;2
1.219350113;1.532279163;0.444057886;0.869253562;0.177830666;0.061970702;1.427856391;1.878338176;1.803493519;0
1.269401398;1.605288629;0.172435274;1.186712603;0.200653403;0.576780265;1.165434285;1.906525089;1.866772131;0
0.920177627;1.273100367;0.394296475;0.788343194;0.104983837;0.891025331;1.224180269;1.875807872;1.792550317;3
0.870927191;1.240251044;0.125604108;1.258236444;0.262753854;0.493871892;1.289406004;1.897920526;1.868497652;0
0.252320333;1.026046455;0.233840496;0.722897192;0.206851338;0.812903407;1.135757649;1.867997915;1.759917563;1
0.579994534;1.198967135;0.392971451;0.681751156;0.156047706;0.537062291;0.929880456;1.822078457;1.781045101;1
0.963718772;1.281199091;0.320166184;0.564197409;0.40031367;0.354405858;0.777339959;1.8249309;1.549153444;3
0.475950677;1.186783523;0.162693568;0.616823173;0.225429518;0.7110946;1.289631306;1.898414343;1.869075557;1
0.581174141;0.956219954;0.25548192;0.468629314;0.165866495;0.373280418;1.177995426;1.827948112;1.84231352;1
0.369846005;0.779265163;0.349371377;0.447743504;0.262730121;0.916890855;1.470667655;1.854431264;1.753685777;1
0.522093411;1.205700801;0.160883182;0.575844124;0.226205709;0.695352821;1.583225834;1.841132695;1.7599706;1
0.896466742;1.298892698;0.362432217;0.575637005;0.158071454;0.798524149;1.289406004;1.897920526;1.868497652;1
1.115176722;1.359753633;0.506163762;0.49812441;0.296474166;0.542590769;1.626362065;1.169024044;1.919015179;3
0.727913927;1.116863049;0.176266208;0.382899574;0.277586446;0.412356555;1.513288339;1.84730068;1.762423629;1
1.00494972;0.987860145;0.196040146;1.281553286;0.409084885;0.657673318;1.25068529;1.894509297;1.846680134;0
0.830139411;1.075763317;0.392333047;1.178698141;0.151424441;0.451594459;1.497235621;1.866868216;1.81175009;0
0.863717908;1.368470116;0.406201171;0.602511767;0.327165104;0.548415959;1.443092638;1.878350343;1.8296915;3
0.305183591;1.30480904;0.5543254;0.773665591;0.237250026;0.512007952;1.424659907;1.79467119;1.79531748;1
0.370349494;1.084336373;0.054110853;0.616606587;0.139171937;0.636071114;1.420008189;1.877454732;1.799770713;1
1.115176722;1.359753633;0.507170414;1.250948947;1.268374868;1.65649985;1.456088012;1.819815606;1.836822467;2
0.782181251;1.203588852;0.59969236;1.002574102;0.329576338;0.195115905;1.564441255;1.786969854;1.832018537;0
0.318988797;0.997641737;0.23116803;0.693086584;0.186388714;0.814544497;0.90589903;1.845538672;1.639365786;1
0.816496061;1.126728418;0.22408853;0.431011722;0.312440535;0.309779435;1.383238458;1.893411713;1.851264572;1
0.780610373;0.835874823;0.221408592;0.485946983;0.200310568;0.656945836;1.050837851;1.885186963;1.782927406;1
1.24733347;1.416131681;0.270703741;1.018537865;0.30944623;0.415757427;1.090432548;1.738925718;1.558191213;0
1.115176722;1.359753633;0.507170414;1.154415899;0.400624849;0.792431216;1.070737664;1.634258353;1.920829691;2
0.683523358;1.111385259;0.153787194;0.400484275;0.26085041;0.451849006;1.162803589;1.90690266;1.868125579;1
0.633093627;1.087256276;0.384863077;0.430655413;0.068385599;0.514949192;1.135653427;1.826409015;1.819557695;1
0.317757406;0.974623695;0.253867016;0.664954943;0.207462914;0.833035136;1.240658392;1.855985647;1.737699672;1
0.538016217;1.162339623;0.332464253;1.167565829;0.005285899;0.613066763;1.004002773;1.81090736;1.544924608;1
0.950053702;0.314430571;0.323636251;1.377552214;0.295292112;0.844054271;1.326161899;1.772204487;1.314605214;1
1.097981421;0.856703283;0.223029193;1.37778515;0.284848498;0.934486603;1.209935366;1.780288057;1.406812917;2
0.626648087;0.98185793;0.215966751;0.562450423;0.079760154;0.798095667;0.71935996;1.822127332;1.543384665;1
0.904341386;1.175720453;0.520629932;1.103952555;0.29601234;0.394899402;0.952922138;1.807445442;1.502873607;0
1.393907662;1.441155905;0.501892168;1.308032884;0.456959434;1.047264522;1.128315225;1.766678775;1.437104047;2
1.326115748;1.512586081;0.362358571;1.44984599;0.497600377;0.405497021;1.309978563;1.723068081;1.11711966;0
1.345561461;1.251994317;0.186283762;0.949100124;0.137615359;0.588820942;1.150924888;1.760985812;1.386582286;0
1.352271381;0.883417878;0.324317925;0.652081544;0.204799961;0.309685607;1.216674819;1.805826073;1.621343193;3
1.487724228;0.81038019;0.490969446;0.967884433;0.141431304;0.78545705;1.216022345;1.820410857;1.667312355;0
0.900982513;0.138787147;0.155035023;0.474639519;0.172458418;0.528760369;1.100154941;1.694046685;1.430687857;1
1.138860449;1.353038837;0.682424225;1.36153332;0.362928298;1.009578989;1.030836175;1.727742194;1.566355008;2
0.406235714;1.165994802;0.188071498;0.673998137;0.209768021;0.740980243;1.099129786;1.796137071;1.455510554;1
1.504751761;1.445533578;0.963089325;1.269466986;0.342878469;0.551370002;1.022451308;1.73609503;1.591468939;2
0.321473118;0.996444404;0.265126027;0.688152837;0.231397638;0.839170349;1.206753462;1.783458848;1.400671772;1
0.871662659;0.941643723;0.320742722;0.302176234;0.080897895;0.831366912;1.10305313;1.796190441;1.452903013;1
0.791277434;0.820361169;0.227785124;0.477794395;0.202284427;0.655826331;1.211512848;1.832544759;1.620963942;1
0.639542495;1.015525953;0.185976402;0.324172258;0.057028878;0.737538335;1.106487508;1.797673508;1.454615708;1
0.757565284;1.439180375;0.377020785;0.629519645;0.212963972;0.545421286;1.305237866;1.800952396;1.470040992;3
1.299526771;1.096392361;0.90673967;1.080533952;0.254471236;0.88425403;1.207103784;1.744119832;1.64749653;2
1.115176722;1.359753633;0.507170414;1.66056369;1.142289432;1.464333248;0.694813748;1.781560496;1.653250102;2
0.735709038;1.539033813;0.391070338;0.504361167;0.149387082;0.60843333;1.279638516;1.808306969;1.583405006;3
1.205944438;1.423726513;0.096405489;0.327744184;0.140979253;0.50932201;1.316042237;1.755091217;1.616908469;3
0.858643808;0.203446454;0.110470981;0.474160478;0.195355655;0.47070829;1.119709328;1.714249363;1.527190041;1
0.805429181;0.453962962;0.114949837;0.352529338;0.181944486;0.48158236;1.037438889;1.762281952;1.622361256;1
0.84918745;1.013224836;0.671384688;0.88559899;0.162164641;0.546921752;1.004866393;1.729745519;1.523458914;1
1.215226891;1.533258799;0.446513255;0.860977366;0.180190913;0.031848531;1.32135784;1.835977852;1.676358133;0
0.420680533;1.080877346;0.261733795;0.782266724;0.210859884;0.823615827;1.090572693;1.794766706;1.457630204;1
0.594908097;0.946236777;0.736722867;1.246099215;0.156247028;0.666182213;1.390628557;1.721480742;1.599088459;0
0.859737337;0.929250199;0.319010656;0.32141447;0.074777484;0.836353634;1.190383865;1.779110414;1.4037017;1
1.126291523;1.707233489;0.542321141;1.062933239;0.411019244;0.712349409;1.00603884;1.833859574;1.616775508;0
1.186554126;1.49309011;0.469387225;0.86342157;0.200392039;0.281786491;1.540776617;1.720493063;1.132936435;0
0.379426185;1.077959959;0.0661533;0.594712483;0.126838774;0.647466478;1.434885128;1.807974029;1.601903574;1
0.668403474;0.768432373;0.309708602;0.507061571;0.111151529;0.877953124;0.960860837;1.819801372;1.522520021;1
0.782895567;0.684022625;0.019315855;0.514775999;0.270430218;0.279378121;1.182078966;1.723774815;1.527437864;1
0.823794921;1.182320127;0.231556268;0.296481284;0.328237393;0.302006767;1.318175891;1.7739235;1.334790555;1
0.613620875;0.923223036;0.243794039;0.419147609;0.150403236;0.387215761;1.049792222;1.738505088;1.564994236;1
0.884493111;1.266093926;0.374617288;0.78310863;0.066208515;0.871036758;1.342242079;1.800303208;1.508998255;1
0.585751221;0.89720459;0.255258863;0.606320631;0.116780156;0.834615363;1.091376025;1.795322111;1.458613736;1
1.587459431;1.802785074;0.487924311;1.534967242;0.227591546;0.587184723;1.23095919;1.848938759;1.705320079;2
0.993655066;1.148077951;0.333631414;0.898882478;0.424627811;0.068098542;1.04523024;1.762181669;1.670639381;3
0.223248565;0.954087141;0.267674975;0.640729114;0.217936661;0.844913188;1.03644214;1.788548656;1.464957695;1
1.115176722;1.359753633;0.327882182;0.757914906;0.199625414;0.423477705;0.914542318;1.423972855;1.959164767;3
1.21438478;1.463130997;0.033506355;0.305484081;0.161936639;0.607362129;1.103550129;1.785727122;1.637129585;3
0.609187083;0.909013542;0.235843591;0.390199046;0.152076813;0.404557853;1.163939918;1.839808392;1.854635914;1
1.540814002;1.498854331;0.948298784;1.248662537;0.368435624;0.4657203;1.104837817;1.81243993;1.798224757;2
0.920882539;0.889299529;0.319377569;0.483982951;0.051680516;0.660412656;1.054343767;1.740089833;1.565788057;1
1.115176722;1.359753633;0.504719873;0.47730632;0.293566972;0.543521705;1.442626034;0;1.703850236;3
1.303149048;1.325774043;0.45471552;0.629148413;0.232297699;0.416378469;1.381003609;1.759449893;1.349035346;3
1.115176722;1.359753633;0.507170414;1.803937478;1.247531091;1.043990106;0.799598354;1.453282041;1.727475868;2
0.864894818;1.411739156;0.224645624;0.921445503;0.160255595;0.442243036;1.036880588;1.838525446;1.61859257;3
1.225746957;1.345112271;0.225602997;0.585199111;0.123114307;0.241839088;0.963332868;1.830333382;1.744124596;3
1.115176722;1.359753633;0.305349259;0.697216324;0.064901399;0.349762531;0.826688847;1.232430985;1.845098637;3
1.331907932;1.551106084;0.427166679;1.182745761;0.256877286;0.402266201;1.188672709;1.788037156;1.421602326;0
0.57068147;1.199541514;0.234489472;0.687816205;0.155226162;0.759297135;1.163780776;1.823957493;1.584505737;1
1.540662512;1.53030843;1.02224404;1.412650219;0.128113635;0.896283185;1.1211317;1.76779628;1.675202606;2
1.115176722;1.359753633;0.314553666;1.217221208;0.501836909;0.199210061;1.06658993;1.178666024;1.83882246;0
1.115176722;1.359753633;0.399847154;1.278201366;0.557299783;0.492296172;0.585226298;1.283876069;1.86190184;2
1.2544504;1.251779282;0.32891427;0.757142319;0.218951902;0.199866321;1.041122517;1.765695477;1.547040709;3
0.624252524;1.111666781;0.396944952;0.490045319;0.078936085;0.522476761;0.965198678;1.738187467;1.585827433;1
1.373229294;1.531498287;0.554482743;1.141348912;0.340964319;0.675427891;1.239449043;1.80821108;1.550229921;0
0.758765582;0.581559515;0.123518342;0.234087647;0.182271449;0.488735084;0.70208994;1.730937181;1.599035099;1
1.405789589;1.537581984;0.614785384;1.324105735;0.144169226;0.695208107;0.928481159;1.814825021;1.523643358;2
1.35544516;1.515723039;0.537489657;1.121292535;0.312300426;0.630790805;1.285301361;1.868117508;1.771648638;0
1.179500501;0.762203625;0.392079326;0.780532227;0.281644536;0.781400928;1.212636519;1.852511461;1.908298816;1
0.588133777;1.464015536;0.38379601;0.982435535;0.143422087;0.403773448;1.261793136;1.846277574;1.688561206;1
1.115176722;1.359753633;0.653760434;1.470785364;0.621402902;0.972840753;0.664349907;1.316293452;1.904366989;2
1.372584455;1.609191726;0.363441254;1.734365102;0.67345686;0.987251502;0.81197163;1.764523019;1.639716537;2
